Item ID,Price
IP X Clear Tpu,0.30 
IP X Clear Tpu Corner,0.27 
IP X Glass Gold,0.34 
IP X white Glass,0.34 
IP Xr Armor Red,0.50 
IP Xr Clear Bumper,0.30 
IP Xr clear red Floral,0.40 
IP Xr Clear Tpu,0.30 
IP Xr Clear Tpu Corner,0.30 
IP Xs Clear Bumper,0.30 
IP Xs clear red Floral,0.36 
IP Xs Clear Tpu,0.30 
IP Xs Clear Tpu Corner,0.30 
IP XS Max Armor Black,0.50 
IP XS Max Armor Blue,0.50 
IP XS Max Armor Pink,0.50 
IP XS Max Armor Red,0.50 
IP XS Max BOO,0.40 
IP Xs Max Clear Bumper,0.27 
IP Xs Max clear red Floral,0.40 
IP Xs Max Clear Tpu,0.27 
IP Xs Max Clear Tpu Corner,0.30 
IP Xs Max Clear Tpu Reg,0.30 
IP Xs Max Tree,0.40 
IP Xs Tree,0.40 
Ip6 Ring Teal Tpu,0.39 
Iphone 5 Clear Tpu regular,0.29 
Iphone 5s Clear Tpu,0.29 
Iphone 5s Clear Tpu regular,0.20 
Iphone 6 clear glass,0.30 
iphone 6 clear tpu,0.29 
iphone 6 clear tpu Bumper,0.29 
Iphone 6 plus clear glass,0.30 
iphone 6 plus clear tpu,0.29 
Iphone 6s clear glass,0.30 
iphone 6s clear tpu,0.29 
Iphone 6s plus clear glass,0.30 
iphone 6s plus clear tpu,0.29 
iphone 7 clear tpu,0.25 
iphone 7 clear tpu regular,0.29 
iphone 7 plus clear tpu,0.30 
iphone 7 plus clear tpu regular,0.29 
Iphone 7 Plus Glass,0.30 
Iphone 8 Glass,0.30 
Iphone 8 Plus Glass,0.30 
Iphone SE Clear Bumper,0.29 
Iphone SE Clear reg,0.29 
Iphone SE Clear Tpu,0.30 
Iphone SE Clear Tpu regular,0.29 
iphone SE Tpu Clear,0.24 
Iphone X Glass,0.35 
Iphone6 plus Clear tpu,0.29 
iphone6S plus Tpu Clear,0.29 
iphone6S Tpu Clear,0.30 
Iphone8 Plus clear tpu,0.30 
IphoneX Black Glass,0.34 
IphoneX clear tpu,0.29 
IphoneX red glass,0.34 
IphoneX red glass Zinc,0.44 
IphoneX RoGold Glass,0.34 
IphoneX Tpu Clear,0.26 
IpX PL,0.40 
IPX TrocpFloral,0.40 
Item ID,#VALUE!
iWatch Tpu Clear,0.29 
iWatch Tpu Clear + Glass,0.49 
J3 2016 Com black,0.40 
J3 2018 Com black,0.50 
J32017 BB,0.40 
J32017 BB+Glass,0.49 
J32017 BB4,0.40 
J32017 BB5+Glass,0.49 
J32017 BB6,0.40 
